 
Status=Not/Inst/Conf-files/Unpacked/halF-conf/Half-inst/trig-aWait/Trig-pend 
Err?=(none)/Reinst-required (Status,Err:
fonts-noto-color-emoji 2.038-1
fonts-noto-core 20201225-1
fonts-noto-extra 20201225-1
fonts-noto-mono 20201225-1
fonts-noto-ui-core 20201225-1
fonts-open-sans 1.11-2
fonts-opensymbol 4:102.12+LibO7.4.5-3
fonts-quicksand 0.2016-2.1
fonts-sil-gentium 20081126:1.03-4
fonts-sil-gentium-basic 1.102-1.1
fonts-texgyre 20180621-3.1
fonts-urw-base35 20200910-6
fonts-wine 8.0~rc3~repack-1
foremost 1.5.7-11+b2
forensic-artifacts 20221219-1
forensics-colorize 1.1-7
fping 5.1-1
fragrouter 1.7-3kali2
framework2 2.0-1kali3
freeradius 3.2.0+dfsg-1
freeradius-common 3.2.1+dfsg-1
freeradius-config 3.2.1+dfsg-1+b1
freeradius-utils 3.2.0+dfsg-1
freeradius-wpe 3.2.0+dfsg-0kali2
freerdp2-x11 2.7.0+dfsg1-1+b2
freetds-common 1.3.6-1.1
ftester 1.0-1kali3
ftp 20210827-4
fuse3 3.12.0-1
fxload 0.0.20081013-2
g++ 4:11.2.0-2
g++-11 11.3.0-11
g++-12 12.2.0-14
g++-mingw-w64 12.2.0-14+25.2
g++-mingw-w64-i686 12.2.0-14+25.2
g++-mingw-w64-i686-posix 12.2.0-14+25.2
g++-mingw-w64-i686-win32 12.2.0-14+25.2
g++-mingw-w64-x86-64 12.2.0-14+25.2
g++-mingw-w64-x86-64-posix 12.2.0-14+25.2
g++-mingw-w64-x86-64-win32 12.2.0-14+25.2
galera-4 26.4.11-1+b2
galleta 1.0+20040505-12
gawk 1:5.1.0-1
gcc 4:11.2.0-2
gcc-11 11.3.0-11
gcc-11-base:amd64 11.3.0-11
gcc-12 12.2.0-14
gcc-12-base:amd64 12.2.0-14
gcc-12-base:i386 12.2.0-14
gcc-mingw-w64 12.2.0-14+25.2
gcc-mingw-w64-base:amd64 12.2.0-14+25.2
gcc-mingw-w64-i686 12.2.0-14+25.2
gcc-mingw-w64-i686-posix 12.2.0-14+25.2
gcc-mingw-w64-i686-posix-runtime 12.2.0-14+25.2
gcc-mingw-w64-i686-win32 12.2.0-14+25.2
gcc-mingw-w64-i686-win32-runtime 12.2.0-14+25.2
gcc-mingw-w64-x86-64 12.2.0-14+25.2
gcc-mingw-w64-x86-64-posix 12.2.0-14+25.2
gcc-mingw-w64-x86-64-posix-runtime 12.2.0-14+25.2
gcc-mingw-w64-x86-64-win32 12.2.0-14+25.2
gcc-mingw-w64-x86-64-win32-runtime 12.2.0-14+25.2
gccgo-12 12.2.0-14
gccgo-go:amd64 2:1.19~1
gconf-service 3.2.6-8
gconf2-common 3.2.6-8
gcr 3.41.1-1+b1
gdal-data 3.6.2+dfsg-1
gdal-plugins 3.6.2+dfsg-1+b2
gdb 12.1-3
gdb-peda 1.2-0kali1
gdebi-core 0.9.5.7+nmu6
gdisk 1.0.9-2.1
geoclue-2.0 2.6.0-2
geoip-database 20230105-1
